student_id,tenth_percentage,inter_percentage,cgpa,coding_score,dsa_score,projects_count,internships,aptitude_score,communication_skill,mock_interview_score,certifications,placement_status
338,85.26,79.55,7,61,79,3,3,81,92,74,2,1
339,75.39,94.11,6.68,39,30,4,2,60,64,74,2,0
340,59.21,55.27,9.12,98,25,3,1,34,72,53,3,1
341,76.14,89.86,5.61,30,46,3,0,74,21,65,0,0
342,75.36,95.78,7.72,73,26,3,1,22,68,62,3,0
343,62.45,58.93,5.68,43,68,2,0,95,92,21,1,0
344,73.66,61.94,8.38,89,91,5,2,57,82,55,3,1
345,72.14,96.31,9.34,36,79,0,0,70,89,89,2,1
346,81.48,78.11,7.09,47,52,5,2,36,77,55,2,0
347,82.31,55.61,7.34,69,66,2,1,68,23,41,0,0
348,56.95,66.08,9.45,74,63,4,0,40,49,88,4,1
349,71.11,74.35,7.5,92,98,1,2,43,76,57,2,1
350,81.91,84.8,7.34,29,46,4,2,59,66,73,2,0
351,76.63,86.53,7.78,40,41,0,2,39,37,41,4,0
352,91.83,97.8,8.31,77,66,1,3,98,63,94,3,1
353,83.32,67.36,5.51,53,67,5,2,54,71,50,2,0
354,62.01,78.14,8.94,62,49,4,1,67,68,72,0,1
355,58.03,77.93,7.09,30,21,0,1,52,49,78,3,0
356,82.62,72.44,5.35,52,34,4,1,75,71,68,3,0
357,56.14,62.27,8.77,77,66,1,2,60,56,46,2,1
358,80.19,97.03,6.81,65,46,1,1,73,82,91,3,1
359,95.43,91.69,5.48,80,90,4,2,63,31,76,3,1
360,79.75,76.43,8.04,81,46,2,2,91,36,25,0,0
361,71.69,80.94,9.22,20,32,4,2,30,53,65,3,0
362,82.66,64.77,9.26,40,74,5,3,33,47,44,2,1
363,74.7,78.38,9.6,81,36,4,0,61,23,28,2,0
364,78.46,84.88,9.16,83,94,4,1,98,65,83,4,1
365,95.48,77.15,5.01,92,78,2,3,31,33,50,1,0
366,71.6,97.58,6.83,75,29,3,1,36,32,38,4,0
367,96.33,81.29,8.93,20,52,1,3,97,77,84,0,1
368,93.93,70.95,6.76,40,97,5,0,44,68,36,0,0
369,63.42,88.2,7.89,41,56,0,0,45,69,53,2,0
370,57.98,62.33,7.91,73,27,1,0,66,86,55,1,0
371,59.33,71.53,6.75,23,52,1,0,44,40,32,4,0
372,55.78,69.92,9.34,84,26,3,2,79,99,78,1,1
373,59.06,73.57,7.42,70,53,1,1,79,70,95,2,1
374,84.37,88.62,7.23,93,90,1,1,46,57,40,3,1
375,58.06,75.82,9.79,82,26,2,1,62,45,84,2,1
376,68.72,89.14,7.37,34,60,2,2,95,25,25,2,0
377,91.33,79.79,5.86,55,74,2,1,39,37,30,1,0
378,56,69.71,7.46,48,26,2,0,82,25,99,0,0
379,90.02,89.83,8.91,71,37,2,1,99,60,41,3,1
380,67.12,65.25,8.73,65,62,5,1,44,76,30,3,1
381,60.08,64.65,8.79,88,97,0,3,46,69,56,0,1
382,84.96,76.69,8.4,48,59,3,2,71,44,45,1,0
383,82.04,66.22,6.22,66,72,4,0,29,67,76,1,0
384,92.73,55.39,9.14,44,33,5,0,69,43,45,0,0
385,86.61,82.88,9.29,99,40,2,0,49,49,40,4,1
386,89.55,76.98,5.93,35,76,3,1,20,64,76,1,0
387,67.13,74.16,5.63,60,65,4,0,73,62,45,0,0
388,62.63,96.58,9.68,84,45,1,0,23,91,34,4,0
389,87.28,79.56,9.17,88,43,5,3,26,75,82,2,1
390,89.69,92.13,9.29,39,24,1,1,49,92,54,3,0
391,97.59,61,9.25,88,61,3,3,84,89,30,0,1
392,72.74,79.48,7.6,55,62,0,2,48,52,92,1,0
393,71,92.32,8.1,77,51,0,1,44,64,87,3,1
394,88.39,80.07,7.62,67,25,3,3,59,26,69,4,0
395,69.65,85.87,5.25,21,93,0,2,45,37,48,3,0
396,95.02,71,8.58,99,86,0,3,36,89,83,0,1
397,91.91,58.98,7.43,48,26,1,2,50,64,60,2,0
398,73.45,74.69,8.11,35,48,0,0,80,56,45,4,0
399,87.29,71.96,7.41,54,53,0,0,27,40,47,4,0
400,87.45,92.28,7.36,81,26,3,1,88,98,67,4,1
401,59.43,65.49,5.82,23,96,0,3,20,63,85,3,0
402,93.81,96.57,6.34,87,77,5,3,98,49,42,2,1
403,76.73,96.2,5.76,70,50,2,2,90,30,58,0,0
404,90.54,65.65,5.94,52,92,2,1,65,27,88,0,0
405,68.76,69.97,9.67,97,64,3,0,39,24,40,3,1
406,93.51,93.51,5.73,43,66,2,3,59,27,68,0,0
407,71.74,96.56,6.29,94,96,1,2,21,24,94,0,1
408,55.47,74.07,7.83,44,91,5,0,80,29,55,2,1
409,93.93,68.8,7.93,47,92,5,0,90,34,56,3,1
410,58.93,77.62,5.74,26,92,3,0,96,75,61,3,0
411,68.73,84.57,8.81,55,59,0,2,49,74,81,4,1
412,95.85,66.76,8.77,29,49,2,2,49,22,25,0,0
413,95.88,86.67,6.14,55,81,1,0,64,60,27,1,0
414,79.66,57.22,6.39,37,90,3,2,43,29,88,2,0
415,82.17,57.12,9.5,25,36,3,0,75,26,59,2,0
416,74.28,71.61,8.96,26,24,0,0,80,82,29,1,0
417,67.61,70.2,8.35,31,20,4,0,32,82,50,4,0
418,69.13,68.57,5.39,60,99,2,2,99,45,49,1,1
419,83.92,76.11,7.01,82,50,1,1,75,53,70,1,0
420,87.35,68.79,7.68,44,54,3,1,34,91,55,4,0
421,89.04,63.27,5.9,72,91,2,2,30,58,80,1,1
422,88.95,68.31,7.15,52,49,1,3,31,79,46,4,0
423,58.92,96.92,7.88,92,34,5,2,22,88,54,0,1
424,76.26,72.68,6.57,25,75,5,3,43,45,79,4,1
425,57.48,74.12,8.75,81,79,1,0,28,81,51,3,1
426,78.63,79.79,9.03,85,46,5,3,65,29,23,3,1
427,73.99,97.28,6.55,28,21,3,0,90,73,46,1,0
428,93.17,65.39,9.03,86,93,2,1,79,50,66,3,1
429,70.09,84.3,5.5,35,83,1,0,30,57,25,4,0
430,60.03,85.79,9.02,74,24,3,3,29,44,45,0,0
431,61.15,81.11,5.73,59,87,2,1,22,96,43,4,0
432,87.74,58.81,5.4,45,32,2,1,38,84,90,2,0
433,81.58,84.11,8.08,57,42,3,2,21,69,63,1,0
